Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,3/25/2016,2016,3,25,†,0,,-11,,-5.5,,23.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/26/2016,2016,3,26,†,3,,-15,,-6,,24,,0,,0,,1,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/27/2016,2016,3,27,†,4,,-7,,-1.5,,19.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/28/2016,2016,3,28,†,7,,-8,,-0.5,,18.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/29/2016,2016,3,29,†,12.5,,-6,,3.3,,14.7,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/30/2016,2016,3,30,†,7.5,,-4.5,,1.5,,16.5,,0,,6,,2,,8,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/31/2016,2016,3,31,†,3,,-3,,0,,18,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/1/2016,2016,4,1,†,1,,-15,,-7,,25,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/2/2016,2016,4,2,†,1,,-14,,-6.5,,24.5,,0,,0,,3.5,,3.5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/3/2016,2016,4,3,†,-5,,-11,,-8,,26,,0,,0,,0.5,,0.5,,0,,,,,
